assocprof,asstprof,prof,theoretical,applied,yrs.since.phd,yrs.service,female,salary
0,0,1,0,1,19,18,0,139750
0,0,1,0,1,20,16,0,173200
0,1,0,0,1,4,3,0,79750
0,0,1,0,1,45,39,0,115000
0,0,1,0,1,40,41,0,141500
1,0,0,0,1,6,6,0,97000
0,0,1,0,1,30,23,0,175000
0,0,1,0,1,45,45,0,147765
0,0,1,0,1,21,20,0,119250
0,0,1,0,1,18,18,1,129000
1,0,0,0,1,12,8,0,119800
0,1,0,0,1,7,2,0,79800
0,1,0,0,1,1,1,0,77700
0,1,0,0,1,2,0,0,78000
0,0,1,0,1,20,18,0,104800
0,0,1,0,1,12,3,0,117150
0,0,1,0,1,19,20,0,101000
0,0,1,1,0,38,34,0,103450
0,0,1,1,0,37,23,0,124750
0,0,1,1,0,39,36,1,137000
0,0,1,1,0,31,26,0,89565
0,0,1,1,0,36,31,0,102580
0,0,1,1,0,34,30,0,93904
0,0,1,1,0,24,19,0,113068
1,0,0,1,0,13,8,1,74830
0,0,1,1,0,21,8,0,106294
0,0,1,1,0,35,23,0,134885
0,1,0,0,1,5,3,0,82379
0,1,0,0,1,11,0,0,77000
0,0,1,0,1,12,8,0,118223
0,0,1,0,1,20,4,0,132261
0,1,0,0,1,7,2,0,79916
0,0,1,0,1,13,9,0,117256
0,1,0,0,1,4,2,0,80225
0,1,0,0,1,4,2,1,80225
0,1,0,0,1,5,0,1,77000
0,0,1,0,1,22,21,0,155750
0,1,0,0,1,7,4,0,86373
0,0,1,0,1,41,31,0,125196
1,0,0,0,1,9,9,0,100938
0,0,1,0,1,23,2,0,146500
1,0,0,0,1,23,23,0,93418
0,0,1,0,1,40,27,0,101299
0,0,1,0,1,38,38,0,231545
0,0,1,0,1,19,19,0,94384
0,0,1,0,1,25,15,0,114778
0,0,1,0,1,40,28,0,98193
0,0,1,0,1,23,19,1,151768
0,0,1,0,1,25,25,1,140096
0,1,0,0,1,1,1,0,70768
0,0,1,0,1,28,28,0,126621
0,0,1,0,1,12,11,0,108875
0,1,0,0,1,11,3,1,74692
0,0,1,0,1,16,9,0,106639
1,0,0,0,1,12,11,0,103760
1,0,0,0,1,14,5,0,83900
0,0,1,0,1,23,21,0,117704
1,0,0,0,1,9,8,0,90215
1,0,0,0,1,10,9,0,100135
0,1,0,0,1,8,3,0,75044
1,0,0,0,1,9,8,0,90304
0,1,0,0,1,3,2,0,75243
0,0,1,0,1,33,31,0,109785
1,0,0,0,1,11,11,1,103613
0,1,0,0,1,4,3,0,68404
1,0,0,0,1,9,8,0,100522
0,0,1,0,1,22,12,0,101000
0,0,1,0,1,35,31,0,99418
0,0,1,0,1,17,17,1,111512
0,0,1,0,1,28,36,0,91412
0,0,1,0,1,17,2,0,126320
0,0,1,0,1,45,45,0,146856
0,0,1,0,1,29,19,0,100131
0,0,1,0,1,35,34,0,92391
0,0,1,0,1,28,23,0,113398
0,1,0,0,1,8,3,0,73266
0,0,1,0,1,17,3,0,150480
0,0,1,0,1,26,19,0,193000
0,1,0,0,1,3,1,0,86100
0,1,0,0,1,6,2,0,84240
0,0,1,0,1,43,28,0,150743
0,0,1,0,1,17,16,0,135585
0,0,1,0,1,22,20,0,144640
0,1,0,0,1,6,2,0,88825
0,0,1,0,1,17,18,1,122960
0,0,1,0,1,15,14,0,132825
0,0,1,0,1,37,37,0,152708
0,1,0,0,1,2,2,0,88400
0,0,1,0,1,25,25,0,172272
1,0,0,0,1,9,7,0,107008
0,1,0,0,1,10,5,1,97032
1,0,0,0,1,10,7,0,105128
1,0,0,0,1,10,7,0,105631
0,0,1,0,1,38,38,0,166024
0,0,1,0,1,21,20,0,123683
0,1,0,0,1,4,0,0,84000
1,0,0,0,1,17,12,0,95611
0,0,1,0,1,13,7,0,129676
0,0,1,0,1,30,14,0,102235
0,0,1,0,1,41,26,0,106689
0,0,1,0,1,42,25,0,133217
0,0,1,0,1,28,23,0,126933
0,0,1,0,1,16,5,0,153303
0,0,1,0,1,20,14,1,127512
1,0,0,1,0,18,10,0,83850
0,0,1,1,0,31,28,0,113543
1,0,0,1,0,11,8,0,82099
1,0,0,1,0,10,8,0,82600
1,0,0,1,0,15,8,0,81500
0,0,1,1,0,40,31,0,131205
0,0,1,1,0,20,16,0,112429
1,0,0,1,0,19,16,0,82100
0,1,0,1,0,3,1,0,72500
0,0,1,1,0,37,37,0,104279
0,0,1,1,0,12,0,1,105000
0,0,1,1,0,21,9,0,120806
0,0,1,1,0,30,29,0,148500
0,0,1,1,0,39,36,0,117515
0,1,0,1,0,4,1,0,72500
0,1,0,1,0,5,3,1,73500
0,0,1,1,0,14,14,0,115313
0,0,1,1,0,32,32,0,124309
0,0,1,1,0,24,22,0,97262
1,0,0,1,0,25,22,1,62884
0,0,1,1,0,24,22,0,96614
0,0,1,1,0,54,49,0,78162
0,0,1,1,0,28,26,0,155500
0,1,0,1,0,2,0,1,72500
0,0,1,1,0,32,30,0,113278
0,1,0,1,0,4,2,0,73000
1,0,0,1,0,11,9,0,83001
0,0,1,1,0,56,57,0,76840
1,0,0,1,0,10,8,1,77500
0,1,0,1,0,3,1,1,72500
0,0,1,1,0,35,25,0,168635
0,0,1,1,0,20,18,0,136000
0,0,1,1,0,16,14,0,108262
0,0,1,1,0,17,14,0,105668
1,0,0,1,0,10,7,0,73877
0,0,1,1,0,21,18,0,152664
1,0,0,1,0,14,8,0,100102
1,0,0,1,0,15,10,0,81500
0,0,1,1,0,19,11,0,106608
0,1,0,0,1,3,3,0,89942
0,0,1,0,1,27,27,0,112696
0,0,1,0,1,28,28,0,119015
0,1,0,0,1,4,4,0,92000
0,0,1,0,1,27,27,0,156938
0,0,1,0,1,36,26,1,144651
0,1,0,0,1,4,3,0,95079
0,0,1,0,1,14,12,0,128148
0,1,0,0,1,4,4,0,92000
0,0,1,0,1,21,9,0,111168
1,0,0,0,1,12,10,1,103994
0,1,0,0,1,4,0,0,92000
0,0,1,0,1,21,21,0,118971
1,0,0,0,1,12,18,0,113341
0,1,0,0,1,1,0,0,88000
1,0,0,0,1,6,6,0,95408
0,0,1,0,1,15,16,0,137167
0,1,0,0,1,2,2,0,89516
0,0,1,0,1,26,19,0,176500
1,0,0,0,1,22,7,0,98510
0,1,0,0,1,3,3,0,89942
0,1,0,0,1,1,0,0,88795
0,0,1,0,1,21,8,0,105890
0,0,1,0,1,16,16,0,167284
0,0,1,0,1,18,19,0,130664
1,0,0,0,1,8,6,0,101210
0,0,1,0,1,25,18,0,181257
0,1,0,0,1,5,5,0,91227
0,0,1,0,1,19,19,0,151575
0,0,1,0,1,37,24,0,93164
0,0,1,0,1,20,20,0,134185
1,0,0,0,1,17,6,0,105000
0,0,1,0,1,28,25,0,111751
1,0,0,0,1,10,7,0,95436
1,0,0,0,1,13,9,0,100944
0,0,1,0,1,27,14,0,147349
0,1,0,0,1,3,3,1,92000
0,0,1,0,1,11,11,0,142467
0,0,1,0,1,18,5,0,141136
1,0,0,0,1,8,8,0,100000
0,0,1,0,1,26,22,0,150000
0,0,1,0,1,23,23,0,101000
0,0,1,0,1,33,30,0,134000
1,0,0,0,1,13,10,1,103750
0,0,1,0,1,18,10,0,107500
1,0,0,0,1,28,28,0,106300
0,0,1,0,1,25,19,0,153750
0,0,1,0,1,22,9,0,180000
0,0,1,0,1,43,22,0,133700
0,0,1,0,1,19,18,0,122100
1,0,0,0,1,19,19,0,86250
1,0,0,0,1,48,53,0,90000
1,0,0,0,1,9,7,0,113600
0,1,0,0,1,4,4,0,92700
0,1,0,0,1,4,4,0,92000
0,0,1,0,1,34,33,0,189409
0,0,1,0,1,38,22,0,114500
0,1,0,0,1,4,4,0,92700
0,0,1,0,1,40,40,0,119700
0,0,1,0,1,28,17,0,160400
0,0,1,0,1,17,17,0,152500
0,0,1,0,1,19,5,0,165000
0,0,1,0,1,21,2,0,96545
0,0,1,0,1,35,33,0,162200
0,0,1,0,1,18,18,0,120000
0,1,0,0,1,7,2,0,91300
0,0,1,0,1,20,20,0,163200
0,1,0,0,1,4,3,0,91000
0,0,1,0,1,39,39,0,111350
