n,w,y,i
4.477337,-0.8137752,5.241747,4.736198
3.367296,-0.2318016,4.65396,4.304065
5.09375,1.008808,7.040536,6.410175
4.804021,0.6640391,7.006695,6.470799
5.135798,0.8226263,7.128496,6.583409
3.610918,0.8888918,5.493062,4.997212
6.368187,0.841153,9.353834,9.076809
6.298949,0.8849215,9.437795,9.207837
4.007333,0.0180185,5.141664,4.663439
3.663562,0.0976385,5.846439,5.662961
8.208491,0.6642758,9.821193,9.082734
4.442651,0.0899482,5.991465,5.613128
2.70805,-0.1431008,4.744932,4.574711
5.575949,0.986495,8.012681,7.674153
4.844187,0.8152952,7.391415,7.109879
5.411646,0.9496564,8.098643,7.756623
5.717028,0.808002,8.236156,8.080237
3.135494,-0.1910553,3.988984,2.833213
5.998937,0.9509199,8.088255,7.54009
5.749393,1.124805,8.528924,8.122965
7.463937,0.8119491,9.026057,8.090096
8.110126,0.6938981,10.71781,10.33348
5.723585,1.324801,9.031693,8.760767
6.011267,1.012492,8.561401,8.280711
6.09131,0.9342285,8.417815,7.876259
5.673323,0.6999966,8.120886,7.721349
3.951244,0.836248,6.318968,5.673323
3.258096,0.9614112,7.398786,7.360104
6.107023,1.045246,8.513587,7.860185
4.043051,1.013195,7.293018,6.971669
4.584968,-0.294508,5.846439,5.583496
5.693732,0.6965085,8.462948,8.199464
4.89784,0.2726442,6.403574,5.991465
5.303305,-0.8034952,6.224558,5.97381
4.736198,1.092747,7.744137,7.440146
5.484797,1.001364,10.28182,10.21684
3.806663,-0.71562,5.976351,5.872118
3.78419,-0.3184537,5.666427,5.459586
3.78419,-0.1732718,5.147494,4.859812
5.267858,-0.8858315,4.488636,2.302585
5.697093,0.8751891,8.23111,7.857094
3.135494,0.8157495,5.02388,4.488636
4.85203,1.061473,7.100852,6.586172
5.442418,1.281415,9.754988,9.452267
2.995732,0.7654679,5.717028,5.433722
2.772589,-0.2076394,3.850147,3.295837
4.234107,-0.3422862,5.068904,4.59512
4.477337,0.8058668,6.066108,5.204007
4.941642,0.5636891,6.624065,5.493062
6.678342,0.759453,8.451694,7.306531
4.189655,0.5198754,7.828436,7.74457
5.645447,0.5731533,7.380256,6.888573
6.109248,0.6324531,8.252707,7.534763
4.330733,0.4483902,6.033086,5.442418
4.488636,0.9095263,7.137279,6.807935
4.962845,0.6611729,8.768575,8.714403
5.278115,0.8767434,7.537962,6.915723
4.70048,0.7591052,7.149917,6.776507
3.295837,0.7295148,5.831882,5.402678
4.882802,0.5596158,6.697034,6.202536
3.7612,0.4434925,4.844187,3.610918
4.394449,0.2595111,5.69036,4.955827
6.461468,0.3508769,8.218787,7.820841
3.73767,0.2326223,4.442651,3.044523
4.143135,0.2263131,6.228511,5.978886
4.488636,0.2988554,6.44572,6.152733
4.543295,0.0210534,6.877296,6.708084
4.276666,0.4418328,6.52503,6.265301
4.369448,-0.2751033,5.442418,5.02388
3.637586,0.2336148,5.488938,5.068904
3.178054,0.2559333,6.308098,6.192362
4.94876,0.1449903,6.548219,6.109248
6.656726,0.1730672,7.882692,7.406711
4.574711,0.0887281,5.966147,5.459586
3.89182,0.4776275,5.298317,4.465908
3.401197,0.2623642,4.844187,4.204693
4.488636,0.3865609,6.068426,5.497168
3.091043,0.167054,5.062595,4.787492
3.178054,0.040822,4.65396,4.356709
5.869297,0.1968112,7.336937,6.774224
5.648974,0.5164437,8.339262,8.054205
3.637586,0.1236139,7.265429,7.178545
2.833213,0.5340825,5.517453,5.298317
7.404279,0.9541528,10.20991,9.618402
7.183871,0.6064117,8.676929,7.855157
4.727388,0.9863451,7.36074,7.048387
6.05444,0.697831,8.311152,7.874739
4.75359,0.7915872,7.126891,6.621406
3.555348,0.1335314,7.21008,7.131699
4.736198,0.2336148,6.654152,6.364751
8.946375,0.4502791,10.77958,10.44115
7.122867,0.159207,8.700514,8.271293
5.332719,-0.0344014,6.395262,5.686975
4.317488,0.5108256,5.662961,5.141664
5.627621,0.7456987,8.034631,7.685244
5.170484,0.6931472,6.778785,6.175867
6.261492,0.5519529,8.302762,7.987185
5.774551,0.4598592,7.861727,7.493874
8.081165,0.6634817,10.10737,9.695602
6.811244,0.8998569,9.205227,8.961494
6.137727,0.6016096,8.649799,8.444407
5.493062,0.344669,7.228388,6.741701
5.56452,0.8587266,7.473637,6.891626
5.209486,0.555705,6.838405,6.317165
6.021023,0.9288331,8.981808,8.442685
6.269096,0.8760999,8.827175,8.49331
5.762052,0.6514076,7.887584,7.286192
5.147494,0.3455669,6.104793,5.214936
5.332719,0.638543,7.465083,6.967909
6.001415,0.5861351,7.831617,7.379008
4.836282,0.4867281,6.96979,6.650279
5.505332,0.6495265,7.234899,6.620073
5.247024,0.2942395,7.58883,7.239215
4.574711,0.5432829,7.148346,6.971669
6.807935,0.9353348,10.09605,9.866668
6.049734,0.0944522,7.475339,6.981006
5.609472,0.0109291,6.77308,6.222576
6.222576,0.4054651,8.077447,7.65112
6.455199,0.6146756,8.295798,7.765569
5.986452,0.7797397,8.133294,7.622175
